#STN     LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text    deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
41119  33.842  -78.483 2019 12 02 22 50  MM    MM    MM  0.7   3  3.6 238     MM    MM    MM  14.0    MM   MM     MM
41159  34.213  -76.946 2019 12 02 23 30  MM    MM    MM  2.2   6  5.4 281     MM    MM    MM  19.7    MM   MM     MM
41NT0  14.824  -51.017 2019 12 02 22 30  90   7.0    MM   MM  MM   MM  MM 1014.5    MM  27.2    MM  23.2   MM     MM
42001  25.961  -89.650 2019 12 02 23 30 340   9.0  12.0   MM  MM   MM  MM 1019.5    MM  19.0  24.1  13.8   MM     MM
42002  26.055  -93.646 2019 12 02 23 30 350   6.0   8.0   MM  MM   MM  MM 1021.8    MM  19.1  25.6  12.6   MM     MM
42003  25.925  -85.615 2019 12 02 23 30 320  11.0  13.0   MM  MM   MM  MM 1016.3    MM    MM  28.1    MM   MM     MM
42012  30.064  -87.551 2019 12 02 23 30 340   7.0  11.0   MM  MM   MM  MM 1019.1    MM  11.5  20.8   1.5   MM     MM
42013  27.173  -82.924 2019 12 02 22 30 330  11.0  14.0   MM  MM   MM  MM 1014.0    MM    MM  23.2    MM   MM     MM
42019  27.910  -95.345 2019 12 02 23 30 350   4.0   6.0   MM  MM   MM  MM 1022.4    MM  16.8  23.8   5.5   MM     MM
42020  26.968  -96.693 2019 12 02 23 30 360   4.0   6.0   MM  MM   MM  MM 1022.7    MM  17.8  24.5   9.4   MM     MM
42022  27.505  -83.741 2019 12 02 22 30 320  11.0  14.0   MM  MM   MM  MM 1014.9    MM  18.0    MM    MM   MM     MM
42023  26.010  -83.086 2019 12 02 22 30 320  10.0  13.0   MM  MM   MM  MM 1014.4    MM  21.9  26.1    MM   MM     MM
42026  25.171  -83.475 2019 12 02 22 30 310  10.0  13.0   MM  MM   MM  MM 1014.6    MM  22.7  26.8    MM   MM     MM
42035  29.232  -94.413 2019 12 02 23 30 360   6.0   8.0   MM  MM   MM  MM 1022.6    MM    MM    MM    MM   MM     MM
42036  28.501  -84.516 2019 12 02 23 30 310   9.0  12.0   MM  MM   MM  MM 1016.6    MM  14.7    MM   8.5   MM     MM
42039  28.788  -86.008 2019 12 02 23 30 330  10.0  13.0   MM  MM   MM  MM 1017.2    MM    MM  24.4    MM   MM     MM
42040  29.208  -88.226 2019 12 02 23 30 330   8.0  11.0   MM  MM   MM  MM 1019.6    MM  13.1  22.9   6.4   MM     MM
